S. No.,Date,Region,Confirmed Cases,Active Cases,Cured/Discharged,Death
1466,06/04/2020,Himachal Pradesh,13,11,1,1
1467,07/04/2020,Himachal Pradesh,13,10,2,1
1468,08/04/2020,Himachal Pradesh,18,15,2,1
1469,09/04/2020,Himachal Pradesh,18,15,2,1
1470,10/04/2020,Himachal Pradesh,18,15,2,1
1471,11/04/2020,Himachal Pradesh,28,21,6,1
1472,12/04/2020,Himachal Pradesh,32,25,6,1
1473,13/04/2020,Himachal Pradesh,32,18,13,1
1474,14/04/2020,Himachal Pradesh,32,18,13,1
1475,15/04/2020,Himachal Pradesh,33,19,13,1
1476,16/04/2020,Himachal Pradesh,35,18,16,1
1477,17/04/2020,Himachal Pradesh,35,18,16,1
1478,18/04/2020,Himachal Pradesh,36,19,16,1
1479,19/04/2020,Himachal Pradesh,39,22,16,1
1480,20/04/2020,Himachal Pradesh,39,22,16,1
1481,21/04/2020,Himachal Pradesh,39,22,16,1
1482,22/04/2020,Himachal Pradesh,39,22,16,1
1483,23/04/2020,Himachal Pradesh,40,21,18,1
1484,24/04/2020,Himachal Pradesh,40,21,18,1
1485,25/04/2020,Himachal Pradesh,40,21,18,1
1486,26/04/2020,Himachal Pradesh,40,17,22,1
1487,27/04/2020,Himachal Pradesh,40,17,22,1
1488,28/04/2020,Himachal Pradesh,40,17,22,1
1489,29/04/2020,Himachal Pradesh,40,14,25,1
1490,30/04/2020,Himachal Pradesh,40,14,25,1
1491,01/05/2020,Himachal Pradesh,40,11,28,1
1492,02/05/2020,Himachal Pradesh,40,9,30,1
1493,03/05/2020,Himachal Pradesh,40,6,33,1
1494,04/05/2020,Himachal Pradesh,40,5,34,1
1495,05/05/2020,Himachal Pradesh,41,6,34,1
1496,06/05/2020,Himachal Pradesh,42,2,38,2
1497,07/05/2020,Himachal Pradesh,45,5,38,2
1498,08/05/2020,Himachal Pradesh,46,6,38,2
1499,09/05/2020,Himachal Pradesh,50,10,38,2
1500,10/05/2020,Himachal Pradesh,50,10,38,2
1501,11/05/2020,Himachal Pradesh,55,14,39,2
